X Y Z V
498.356720 29.691060 200.000000 0.000000
498.356720 29.691060 200.000000 50.000000
498.356720 29.691060 198.979592 50.000000
498.356720 29.691060 197.959184 50.000000
498.356720 29.691060 196.938776 50.000000
498.356720 29.691060 195.918367 50.000000
498.356720 29.691060 194.897959 50.000000
498.356720 29.691060 193.877551 50.000000
498.356720 29.691060 192.857143 50.000000
498.356720 29.691060 191.836735 50.000000
498.356720 29.691060 190.816327 50.000000
498.356720 29.691060 189.795918 50.000000
498.356720 29.691060 188.775510 50.000000
498.356720 29.691060 187.755102 50.000000
498.356720 29.691060 186.734694 50.000000
498.356720 29.691060 185.714286 50.000000
498.356720 29.691060 184.693878 50.000000
498.356720 29.691060 183.673469 50.000000
498.356720 29.691060 182.653061 50.000000
498.356720 29.691060 181.632653 50.000000
498.356720 29.691060 180.612245 50.000000
498.356720 29.691060 179.591837 50.000000
498.356720 29.691060 178.571429 50.000000
498.356720 29.691060 177.551020 50.000000
498.356720 29.691060 176.530612 50.000000
498.356720 29.691060 175.510204 50.000000
498.356720 29.691060 174.489796 50.000000
498.356720 29.691060 173.469388 50.000000
498.356720 29.691060 172.448980 50.000000
498.356720 29.691060 171.428571 50.000000
498.356720 29.691060 170.408163 50.000000
498.356720 29.691060 169.387755 50.000000
498.356720 29.691060 168.367347 50.000000
498.356720 29.691060 167.346939 50.000000
498.356720 29.691060 166.326531 50.000000
498.356720 29.691060 165.306122 50.000000
498.356720 29.691060 164.285714 50.000000
498.356720 29.691060 163.265306 50.000000
498.356720 29.691060 162.244898 50.000000
498.356720 29.691060 161.224490 50.000000
498.356720 29.691060 160.204082 50.000000
498.356720 29.691060 159.183673 50.000000
498.356720 29.691060 158.163265 50.000000
498.356720 29.691060 157.142857 50.000000
498.356720 29.691060 156.122449 50.000000
498.356720 29.691060 155.102041 50.000000
498.356720 29.691060 154.081633 50.000000
498.356720 29.691060 153.061224 50.000000
498.356720 29.691060 152.040816 50.000000
498.356720 29.691060 151.020408 50.000000
498.356720 29.691060 150.000000 50.000000
498.356720 29.691060 150.000000 0.000000
498.386107 28.692370 150.000000 5.000000
498.650536 27.730355 150.000000 15.000000
498.971354 26.783854 150.000000 20.000000
498.971354 26.783854 150.000000 50.000000
498.971354 26.783854 151.020408 50.000000
498.971354 26.783854 152.040816 50.000000
498.971354 26.783854 153.061224 50.000000
498.971354 26.783854 154.081633 50.000000
498.971354 26.783854 155.102041 50.000000
498.971354 26.783854 156.122449 50.000000
498.971354 26.783854 157.142857 50.000000
498.971354 26.783854 158.163265 50.000000
498.971354 26.783854 159.183673 50.000000
498.971354 26.783854 160.204082 50.000000
498.971354 26.783854 161.224490 50.000000
498.971354 26.783854 162.244898 50.000000
498.971354 26.783854 163.265306 50.000000
498.971354 26.783854 164.285714 50.000000
498.971354 26.783854 165.306122 50.000000
498.971354 26.783854 166.326531 50.000000
498.971354 26.783854 167.346939 50.000000
498.971354 26.783854 168.367347 50.000000
498.971354 26.783854 169.387755 50.000000
498.971354 26.783854 170.408163 50.000000
498.971354 26.783854 171.428571 50.000000
498.971354 26.783854 172.448980 50.000000
498.971354 26.783854 173.469388 50.000000
498.971354 26.783854 174.489796 50.000000
498.971354 26.783854 175.510204 50.000000
498.971354 26.783854 176.530612 50.000000
498.971354 26.783854 177.551020 50.000000
498.971354 26.783854 178.571429 50.000000
498.971354 26.783854 179.591837 50.000000
498.971354 26.783854 180.612245 50.000000
498.971354 26.783854 181.632653 50.000000
498.971354 26.783854 182.653061 50.000000
498.971354 26.783854 183.673469 50.000000
498.971354 26.783854 184.693878 50.000000
498.971354 26.783854 185.714286 50.000000
498.971354 26.783854 186.734694 50.000000
498.971354 26.783854 187.755102 50.000000
498.971354 26.783854 188.775510 50.000000
498.971354 26.783854 189.795918 50.000000
498.971354 26.783854 190.816327 50.000000
498.971354 26.783854 191.836735 50.000000
498.971354 26.783854 192.857143 50.000000
498.971354 26.783854 193.877551 50.000000
498.971354 26.783854 194.897959 50.000000
498.971354 26.783854 195.918367 50.000000
498.971354 26.783854 196.938776 50.000000
498.971354 26.783854 197.959184 50.000000
498.971354 26.783854 198.979592 50.000000
498.971354 26.783854 200.000000 50.000000
NaN NaN NaN NaN
498.971354 26.783854 200.000000 0.000000
498.758681 27.999132 200.000000 50.000000
498.546007 29.214410 200.000000 50.000000
498.333333 30.429688 200.000000 0.000000
498.333333 30.429688 200.000000 50.000000
498.333333 30.429688 198.979592 50.000000
498.333333 30.429688 197.959184 50.000000
498.333333 30.429688 196.938776 50.000000
498.333333 30.429688 195.918367 50.000000
498.333333 30.429688 194.897959 50.000000
498.333333 30.429688 193.877551 50.000000
498.333333 30.429688 192.857143 50.000000
498.333333 30.429688 191.836735 50.000000
498.333333 30.429688 190.816327 50.000000
498.333333 30.429688 189.795918 50.000000
498.333333 30.429688 188.775510 50.000000
498.333333 30.429688 187.755102 50.000000
498.333333 30.429688 186.734694 50.000000
498.333333 30.429688 185.714286 50.000000
498.333333 30.429688 184.693878 50.000000
498.333333 30.429688 183.673469 50.000000
498.333333 30.429688 182.653061 50.000000
498.333333 30.429688 181.632653 50.000000
498.333333 30.429688 180.612245 50.000000
498.333333 30.429688 179.591837 50.000000
498.333333 30.429688 178.571429 50.000000
498.333333 30.429688 177.551020 50.000000
498.333333 30.429688 176.530612 50.000000
498.333333 30.429688 175.510204 50.000000
498.333333 30.429688 174.489796 50.000000
498.333333 30.429688 173.469388 50.000000
498.333333 30.429688 172.448980 50.000000
498.333333 30.429688 171.428571 50.000000
498.333333 30.429688 170.408163 50.000000
498.333333 30.429688 169.387755 50.000000
498.333333 30.429688 168.367347 50.000000
498.333333 30.429688 167.346939 50.000000
498.333333 30.429688 166.326531 50.000000
498.333333 30.429688 165.306122 50.000000
498.333333 30.429688 164.285714 50.000000
498.333333 30.429688 163.265306 50.000000
498.333333 30.429688 162.244898 50.000000
498.333333 30.429688 161.224490 50.000000
498.333333 30.429688 160.204082 50.000000
498.333333 30.429688 159.183673 50.000000
498.333333 30.429688 158.163265 50.000000
498.333333 30.429688 157.142857 50.000000
498.333333 30.429688 156.122449 50.000000
498.333333 30.429688 155.102041 50.000000
498.333333 30.429688 154.081633 50.000000
498.333333 30.429688 153.061224 50.000000
498.333333 30.429688 152.040816 50.000000
498.333333 30.429688 151.020408 50.000000
498.333333 30.429688 150.000000 50.000000
498.333333 30.429688 150.000000 0.000000
498.372588 31.427626 150.000000 1.339746
498.658535 32.384494 150.000000 5.000000
499.216599 33.204577 150.000000 10.000000
500.012925 33.797743 150.000000 15.000000
500.962516 34.107977 150.000000 18.660254
501.958434 34.162105 150.000000 20.000000
501.958434 34.162105 150.000000 50.000000
501.958434 34.162105 151.020408 50.000000
501.958434 34.162105 152.040816 50.000000
501.958434 34.162105 153.061224 50.000000
501.958434 34.162105 154.081633 50.000000
501.958434 34.162105 155.102041 50.000000
501.958434 34.162105 156.122449 50.000000
501.958434 34.162105 157.142857 50.000000
501.958434 34.162105 158.163265 50.000000
501.958434 34.162105 159.183673 50.000000
501.958434 34.162105 160.204082 50.000000
501.958434 34.162105 161.224490 50.000000
501.958434 34.162105 162.244898 50.000000
501.958434 34.162105 163.265306 50.000000
501.958434 34.162105 164.285714 50.000000
501.958434 34.162105 165.306122 50.000000
501.958434 34.162105 166.326531 50.000000
501.958434 34.162105 167.346939 50.000000
501.958434 34.162105 168.367347 50.000000
501.958434 34.162105 169.387755 50.000000
501.958434 34.162105 170.408163 50.000000
501.958434 34.162105 171.428571 50.000000
501.958434 34.162105 172.448980 50.000000
501.958434 34.162105 173.469388 50.000000
501.958434 34.162105 174.489796 50.000000
501.958434 34.162105 175.510204 50.000000
501.958434 34.162105 176.530612 50.000000
501.958434 34.162105 177.551020 50.000000
501.958434 34.162105 178.571429 50.000000
501.958434 34.162105 179.591837 50.000000
501.958434 34.162105 180.612245 50.000000
501.958434 34.162105 181.632653 50.000000
501.958434 34.162105 182.653061 50.000000
501.958434 34.162105 183.673469 50.000000
501.958434 34.162105 184.693878 50.000000
501.958434 34.162105 185.714286 50.000000
501.958434 34.162105 186.734694 50.000000
501.958434 34.162105 187.755102 50.000000
501.958434 34.162105 188.775510 50.000000
501.958434 34.162105 189.795918 50.000000
501.958434 34.162105 190.816327 50.000000
501.958434 34.162105 191.836735 50.000000
501.958434 34.162105 192.857143 50.000000
501.958434 34.162105 193.877551 50.000000
501.958434 34.162105 194.897959 50.000000
501.958434 34.162105 195.918367 50.000000
501.958434 34.162105 196.938776 50.000000
501.958434 34.162105 197.959184 50.000000
501.958434 34.162105 198.979592 50.000000
501.958434 34.162105 200.000000 50.000000
NaN NaN NaN NaN
501.958434 34.162105 200.000000 0.000000
501.629938 33.125508 200.000000 31.250000
501.301443 32.088911 200.000000 50.000000
500.972947 31.052314 200.000000 50.000000
500.644452 30.015718 200.000000 50.000000
500.315956 28.979121 200.000000 50.000000
499.987460 27.942524 200.000000 50.000000
499.658965 26.905927 200.000000 31.250000
499.330469 25.869330 200.000000 0.000000
499.330469 25.869330 200.000000 50.000000
499.330469 25.869330 198.979592 50.000000
499.330469 25.869330 197.959184 50.000000
499.330469 25.869330 196.938776 50.000000
499.330469 25.869330 195.918367 50.000000
499.330469 25.869330 194.897959 50.000000
499.330469 25.869330 193.877551 50.000000
499.330469 25.869330 192.857143 50.000000
499.330469 25.869330 191.836735 50.000000
