X Y Z CORTAR
-120.000000 503.776786 0.000 1
-120.000000 556.223214 0.000 1
-119.998187 556.254083 0.000 1
-119.996732 556.284993 0.000 1
-119.995603 556.315941 0.000 1
-119.994770 556.346922 0.000 1
-119.994200 556.377934 0.000 1
-119.993862 556.408973 0.000 1
-119.993725 556.440035 0.000 1
-119.993757 556.471116 0.000 1
-119.993926 556.502213 0.000 1
-119.994202 556.533322 0.000 1
-119.994552 556.564439 0.000 1
-119.994946 556.595562 0.000 1
-119.995351 556.626686 0.000 1
-119.995737 556.657808 0.000 1
-119.996072 556.688924 0.000 1
-119.996323 556.720030 0.000 1
-119.996461 556.751124 0.000 1
-119.996453 556.782200 0.000 1
-119.996268 556.813256 0.000 1
-119.995874 556.844288 0.000 1
-119.995241 556.875293 0.000 1
-119.994335 556.906266 0.000 1
-119.993127 556.937205 0.000 1
-119.991584 556.968105 0.000 1
-119.989676 556.998963 0.000 1
-119.987369 557.029775 0.000 1
-119.984634 557.060538 0.000 1
-119.981440 557.091248 0.000 1
-119.977775 557.121903 0.000 1
-119.973654 557.152504 0.000 1
-119.969092 557.183051 0.000 1
-119.964107 557.213545 0.000 1
-119.958713 557.243986 0.000 1
-119.952925 557.274375 0.000 1
-119.946761 557.304712 0.000 1
-119.940235 557.334998 0.000 1
-119.933363 557.365233 0.000 1
-119.926162 557.395418 0.000 1
-119.918646 557.425553 0.000 1
-119.910831 557.455639 0.000 1
-119.902734 557.485677 0.000 1
-119.894369 557.515666 0.000 1
-119.885754 557.545607 0.000 1
-119.876902 557.575501 0.000 1
-119.867831 557.605348 0.000 1
-119.858556 557.635150 0.000 1
-119.849093 557.664905 0.000 1
-119.839457 557.694616 0.000 1
-119.829663 557.724281 0.000 1
-119.819729 557.753903 0.000 1
-119.809670 557.783481 0.000 1
-119.799500 557.813015 0.000 1
-119.789237 557.842507 0.000 1
-119.778895 557.871957 0.000 1
-119.768476 557.901362 0.000 1
-119.757968 557.930718 0.000 1
-119.747361 557.960020 0.000 1
-119.736644 557.989263 0.000 1
-119.725805 558.018441 0.000 1
-119.714834 558.047551 0.000 1
-119.703720 558.076588 0.000 1
-119.692451 558.105546 0.000 1
-119.681016 558.134422 0.000 1
-119.669404 558.163209 0.000 1
-119.657604 558.191903 0.000 1
-119.645606 558.220500 0.000 1
-119.633397 558.248994 0.000 1
-119.620968 558.277381 0.000 1
-119.608306 558.305656 0.000 1
-119.595400 558.333814 0.000 1
-119.582241 558.361850 0.000 1
-119.568816 558.389759 0.000 1
-119.555114 558.417537 0.000 1
-119.541125 558.445179 0.000 1
-119.526837 558.472680 0.000 1
-119.512240 558.500035 0.000 1
-119.497321 558.527239 0.000 1
-119.482072 558.554287 0.000 1
-119.466492 558.581171 0.000 1
-119.450581 558.607884 0.000 1
-119.434340 558.634418 0.000 1
-119.417771 558.660765 0.000 1
-119.400873 558.686916 0.000 1
-119.383648 558.712864 0.000 1
-119.366098 558.738600 0.000 1
-119.348222 558.764117 0.000 1
-119.330021 558.789407 0.000 1
-119.311498 558.814462 0.000 1
-119.292651 558.839273 0.000 1
-119.273483 558.863834 0.000 1
-119.253995 558.888135 0.000 1
-119.234186 558.912169 0.000 1
-119.214059 558.935927 0.000 1
-119.193613 558.959403 0.000 1
-119.172851 558.982587 0.000 1
-119.151772 559.005473 0.000 1
-119.130378 559.028051 0.000 1
-119.108669 559.050314 0.000 1
-119.086647 559.072254 0.000 1
-119.064312 559.093864 0.000 1
-119.041670 559.115140 0.000 1
-119.018728 559.136087 0.000 1
-118.995495 559.156709 0.000 1
-118.971982 559.177012 0.000 1
-118.948196 559.197000 0.000 1
-118.924147 559.216677 0.000 1
-118.899843 559.236047 0.000 1
-118.875294 559.255116 0.000 1
-118.850508 559.273888 0.000 1
-118.825495 559.292368 0.000 1
-118.800263 559.310560 0.000 1
-118.774822 559.328468 0.000 1
-118.749180 559.346098 0.000 1
-118.723346 559.363453 0.000 1
-118.697330 559.380539 0.000 1
-118.671140 559.397360 0.000 1
-118.644785 559.413921 0.000 1
-118.618275 559.430225 0.000 1
-118.591617 559.446279 0.000 1
-118.564822 559.462085 0.000 1
-118.537898 559.477650 0.000 1
-118.510854 559.492976 0.000 1
-118.483697 559.508070 0.000 1
-118.456430 559.522933 0.000 1
-118.429054 559.537569 0.000 1
-118.401571 559.551980 0.000 1
-118.373982 559.566169 0.000 1
