395.781250,393.378906,0.000000,1
395.735594,393.174054,0.000000,1
395.687671,392.969639,0.000000,1
395.638384,392.765488,0.000000,1
395.588637,392.561425,0.000000,1
395.539334,392.357277,0.000000,1
395.491378,392.152869,0.000000,1
395.445673,391.948026,0.000000,1
395.403123,391.742573,0.000000,1
395.364437,391.536378,0.000000,1
395.329501,391.329480,0.000000,1
395.297983,391.121963,0.000000,1
395.269549,390.913913,0.000000,1
395.243866,390.705416,0.000000,1
395.220602,390.496556,0.000000,1
395.199425,390.287419,0.000000,1
395.180000,390.078091,0.000000,1
395.161995,389.868656,0.000000,1
395.145129,389.659187,0.000000,1
395.129345,389.449696,0.000000,1
395.114644,389.240181,0.000000,1
395.101031,389.030639,0.000000,1
395.088506,388.821068,0.000000,1
395.077074,388.611466,0.000000,1
395.066736,388.401829,0.000000,1
395.057496,388.192156,0.000000,1
395.049356,387.982443,0.000000,1
395.042319,387.772689,0.000000,1
395.036384,387.562890,0.000000,1
395.031467,387.353049,0.000000,1
395.027398,387.143173,0.000000,1
395.024000,386.933269,0.000000,1
395.021099,386.723344,0.000000,1
395.018520,386.513407,0.000000,1
395.016088,386.303463,0.000000,1
395.013628,386.093520,0.000000,1
395.010964,385.883586,0.000000,1
395.007921,385.673667,0.000000,1
395.004325,385.463772,0.000000,1
395.000000,385.253906,0.000000,1
395.000000,373.496094,0.000000,1
395.008102,372.485300,0.000000,1
395.006943,371.474633,0.000000,1
394.975597,370.464351,0.000000,1
394.948297,369.453893,0.000000,1
394.942513,368.443048,0.000000,1
394.929358,367.432474,0.000000,1
394.889087,366.422577,0.000000,1
394.842441,365.412764,0.000000,1
394.813355,364.402385,0.000000,1
394.794937,363.391718,0.000000,1
394.765714,362.381478,0.000000,1
394.716274,361.371955,0.000000,1
394.661519,360.362579,0.000000,1
394.618570,359.352706,0.000000,1
394.588890,358.342313,0.000000,1
394.558262,357.332000,0.000000,1
394.512623,356.322355,0.000000,1
394.452676,355.313333,0.000000,1
394.391768,354.304337,0.000000,1
394.343143,353.294778,0.000000,1
394.307624,352.284620,0.000000,1
394.273300,351.274392,0.000000,1
394.228013,350.264636,0.000000,1
394.171079,349.255399,0.000000,1
394.115921,348.246125,0.000000,1
394.076218,347.236241,0.000000,1
394.050803,346.225767,0.000000,1
394.023166,345.215329,0.000000,1
393.978880,344.205484,0.000000,1
393.927439,343.195943,0.000000,1
393.890427,342.185991,0.000000,1
393.875303,341.175343,0.000000,1
393.859627,340.164631,0.000000,1
393.823759,339.154433,0.000000,1
393.785632,338.144380,0.000000,1
393.772318,337.133847,0.000000,1
393.773561,336.122977,0.000000,1
393.763909,335.112238,0.000000,1
393.750000,334.101563,0.000000,1
393.764215,333.326602,0.000000,1
393.773798,332.551554,0.000000,1
393.772184,331.776334,0.000000,1
393.786062,331.001581,0.000000,1
393.825005,330.227456,0.000000,1
393.860822,329.453114,0.000000,1
393.876481,328.678102,0.000000,1
393.892417,327.903201,0.000000,1
393.930276,327.129204,0.000000,1
393.981325,326.355690,0.000000,1
394.024530,325.581754,0.000000,1
